sig_id,cp_type,cp_time,cp_dose,g-0,g-1,g-2,g-3,g-4,g-5,c-0,c-1,c-2,c-3,c-4,c-5,c-6,c-7
id_052f54a1b,trt_cp,72,D2,-0.208,-0.4307,0.1892,-0.7546,-0.0828,0.2157,1.609,0.8499,-0.5363,-0.8326,0.5139,-0.4637,0.9706,-0.3408
id_0536d3269,ctl_vehicle,48,D2,-0.1893,0.5966,0.7621,1.328,-0.4782,-3.202,-0.078,0.6787,0.8354,0.2538,0.9552,0.3491,0.4123,-0.1545
id_05375510c,trt_cp,72,D2,0.0712,-0.0709,0.9122,0.354,-0.0707,-2.606,0.0958,0.07,-0.2792,-0.8104,-0.6243,-1.166,-0.1597,0.6753
id_053e02667,trt_cp,72,D2,0.7149,-0.1742,-1.15,-0.4498,-0.8503,-0.6073,0.8116,0.5029,-0.1021,0.3081,1.343,1.585,0.4687,-0.4284
id_05400ab11,trt_cp,24,D2,-1.004,-1.647,2.938,1.159,-1.343,0.7291,0.4481,0.0406,0.5928,-0.6382,-1.22,-0.3633,-0.147,-0.4786
id_0540547fa,trt_cp,24,D2,0.5314,0.9574,0.4162,-0.9956,0.8342,-0.0994,-0.4898,-0.2556,-0.1978,-0.5498,1.026,1.416,0.1924,0.112
id_054206964,trt_cp,48,D1,-1.306,0.4056,1.67,-0.4175,-0.7492,-0.3619,0.737,-0.0125,-0.1939,0.2623,-0.3295,0.3121,0.6054,0.3872
id_0544f8fa6,trt_cp,72,D1,5.62,-1.224,1.91,-1.34,1.913,-1.673,-9.965,-9.965,-9.965,-9.965,-9.965,-9.965,-9.965,-9.965
id_05459baf6,trt_cp,48,D1,-0.3009,0.4079,1.362,-0.8283,-0.4166,1.163,-0.1741,-1.1,-0.7303,-0.854,-0.6335,0.7492,-2.173,0.0886
id_0545ae188,trt_cp,24,D1,3.635,0.49,0.0916,0.3892,-0.2305,-0.7496,-0.6153,0.1033,-0.5093,-0.4576,0.3796,0.4141,0.5415,-1.372
id_0546da774,trt_cp,72,D1,0.4093,-0.4374,0.308,1.918,1.833,1.268,0.1354,1.308,0.4731,0.2965,-0.2821,-0.6478,-0.4185,1.102
id_05487da6c,trt_cp,48,D2,-0.3399,-1.786,-0.7389,0.6163,-2.514,-0.693,1.125,1.34,0.4938,-0.0143,0.4841,0.9992,-0.3152,0.4677
id_0548e212c,ctl_vehicle,48,D1,0.0192,-0.2656,-0.2114,0.4114,-0.5512,-0.8542,0.0166,0.3722,1.188,-0.9498,1.037,0.7618,0.3873,1.03
id_054dd9e1d,trt_cp,48,D1,0.8536,0.0558,0.8438,-0.2637,-0.097,0.2365,0.7317,0.7322,0.3683,0.1678,0.5634,0.0876,-1.221,-1.28
id_054e0e423,trt_cp,72,D1,0.7074,-0.2379,1.013,0.9925,0.1654,0.0664,0.4764,-1.006,-1.275,0.0624,-1.015,-0.6116,-1.051,0.4136
id_055047feb,trt_cp,24,D1,-0.0407,0.3329,1.565,0.0452,0.7605,4.691,0.4112,-0.4114,-0.8089,-0.3732,0.2807,-0.7079,0.1254,-0.4712
id_0551c9260,trt_cp,48,D2,1.063,-0.512,-0.0442,-0.4777,-0.3834,-0.8459,-0.6965,-0.5728,-1.183,-1.183,-0.4018,-0.3374,-4.477,-2.483
id_0552d7a6e,trt_cp,24,D1,0.7415,-0.0326,3.207,0.7952,-0.3469,-0.7745,0.6964,0.7027,0.3676,-0.3008,0.2794,-0.597,-0.836,-0.3188
id_05561a0c3,trt_cp,24,D2,-0.0578,0.2862,3.596,-0.5706,-0.2927,-0.1215,0.5354,-0.1488,0.4219,-0.0509,-0.619,-0.1999,-1.141,1.114
id_05573b066,trt_cp,48,D1,-0.7568,-0.1121,0.6212,0.664,-1.374,-0.8247,-0.2954,-0.4078,-0.863,0.331,-0.7107,-0.1009,-1.008,-1.08
id_05584405a,trt_cp,48,D1,-0.1586,0.0696,1.943,-0.8144,-0.0379,-0.585,0.3441,-0.0533,-0.2139,0.7375,0.3961,0.4275,-0.2841,-1.132
id_055d4f04f,ctl_vehicle,24,D1,0.2023,0.5221,0.4028,-0.3205,-0.595,0.2298,-0.103,0.4081,0.8923,0.7666,0.6085,0.6874,-0.586,0.3227
id_055def204,ctl_vehicle,24,D1,-0.3909,-0.1606,-0.7499,0.2708,0.8591,-0.6159,-0.584,0.1037,0.1212,-0.484,-0.3061,1.386,0.5215,0.2329
id_055f00bf7,trt_cp,48,D2,-1.464,-0.2884,2.121,0.7282,-0.66,-0.1902,0.2496,-0.0867,0.0074,-0.3149,0.0513,-0.0902,-0.5345,-0.6199
id_0560f34cd,trt_cp,48,D2,0.3557,0.4904,-0.1977,-0.8803,0.6271,-0.3975,-0.6599,-0.5323,0.1303,-0.4229,-0.9185,-0.486,-0.3953,-0.2596
id_05617ce74,trt_cp,24,D1,-0.1313,0.6058,1.164,-0.0506,-0.9029,1.436,-1.505,0.3803,0.0431,0.428,-0.892,0.1953,0.8151,-0.6577
id_0563e1056,trt_cp,48,D1,0.1594,0.1078,-0.223,0.5683,1.047,-0.1454,-0.6905,0.8853,-0.0792,-0.1231,0.2246,-0.1711,0.5702,-1.092
id_0565d8be2,trt_cp,24,D1,0.8358,0.0445,0.6127,-0.5484,-0.0477,0.7344,0.9898,-0.6317,-2.052,-1.248,-1.146,0.0124,-0.8097,-0.1295
id_05664d45e,trt_cp,72,D2,-0.3574,-1.551,-4.653,0.635,-0.156,-0.2393,0.5828,0.5645,0.8877,0.2579,0.3532,0.1523,0.6447,1.253
id_0566db8ed,trt_cp,24,D2,-1.051,-0.5151,-0.7278,-0.22,-0.098,-0.0037,-0.2367,0.7959,-0.2807,-0.0103,-0.3153,0.1932,0.2962,-0.2093
id_057162de2,trt_cp,48,D2,0.8477,-0.0136,0.6378,4.246,-0.5983,0.063,-2.386,-7.906,-5.63,-3.317,-5.868,-2.667,-6.32,-1.979
id_057588ef8,trt_cp,24,D1,0.1399,-0.4564,0.6594,-0.5207,-0.0199,-0.0115,-1.233,0.2802,-0.1338,-0.614,-0.7143,-0.3405,-1.21,0.0134
id_0577dc7cb,trt_cp,48,D2,-0.3543,0.3699,-0.9067,-0.3389,0.0045,0.816,-0.0789,-0.4023,0.5592,0.5926,0.9061,0.1451,0.4745,-0.589
id_05786a8fd,trt_cp,72,D1,3.849,-1.222,0.575,-0.1626,0.8934,-5.102,-10,-10,-10,-10,-10,-10,-10,-6.328
id_057a29ae9,trt_cp,72,D1,6.177,-2.032,-0.0097,0.0577,4.238,-3.933,-6.883,-10,-10,-10,-10,-10,-10,-9.15
id_057c57231,trt_cp,48,D2,0.0325,0.3736,0.2826,-0.6536,0.0362,-0.0046,0.3814,-0.7661,-0.1108,-1.577,-0.3344,-0.2478,0.4239,0.2729
id_057cb4ee2,ctl_vehicle,48,D1,-0.2295,-2.177,0.4385,0.8496,-0.8449,-0.3002,-1.347,-3.884,-2.083,-1.332,-1.218,-2.277,-1.258,0.8895
id_057d81388,trt_cp,48,D1,0.1394,0.7422,0.3628,0.2317,-0.7023,0.4915,0.063,-0.2276,-0.8548,-0.4122,0.2243,-0.9009,-0.434,1.066
id_057ff1bfb,trt_cp,48,D2,0.1172,0.7955,-0.5799,0.005,1.257,-0.0539,-0.8336,-0.9211,1.217,-0.2993,0.3492,0.0102,-0.9063,0.1785
id_0581f64ee,trt_cp,48,D2,-1.069,0.3007,0.4503,-0.2527,-0.0098,-0.7547,-0.2019,-0.4545,-0.8782,-0.7719,-0.0265,0.0228,-0.2161,0.0177
id_0582e610a,trt_cp,48,D2,-1.036,-1.573,-1.147,-0.3481,-0.9701,0.5875,0.4307,0.8479,1.011,-0.6553,-0.1211,0.9985,0.4738,-0.2524
id_0583e4a97,trt_cp,24,D2,-1.464,-1.342,1.762,-0.1194,-1.477,0.4537,-0.0571,0.01,0.0959,-0.3757,-1.658,-0.2219,0.0699,-1.005
id_058b09267,trt_cp,48,D2,-0.0721,-1.903,0.3971,-1.913,-0.7012,0.3663,-3.378,-2.648,-2.589,-2.7,-4.835,-4.832,-3.053,-1.826
id_05923ca7e,trt_cp,48,D2,0.7657,-0.1118,0.605,0.3735,0.0469,0.2573,0.823,0.5219,0.3319,-1.798,0.4339,-0.0655,0.1919,-0.3934
id_059593bb9,trt_cp,48,D2,1.003,-0.7433,0.6113,-0.652,2.582,0.6803,0.3981,0.1323,-0.3439,-0.1965,-1.242,-0.6062,-0.3929,0.425
id_0598a396a,trt_cp,72,D1,0.2464,-0.5561,0.7973,-0.3094,-0.367,-2.509,0.8874,0.1636,0.0071,-0.0739,0.1189,0.0265,0.08,-0.1109
id_059db2229,trt_cp,48,D2,-0.3871,-0.3938,0.0404,0.317,-0.0958,-0.7502,-0.8429,0.4422,-0.1198,0.5085,1.037,0.0545,-0.0382,0.3609
id_059df83ef,trt_cp,24,D2,0.3771,-0.9234,-0.3105,0.4608,-0.2446,-0.4179,-0.6474,-0.0923,0.6893,-0.9332,-0.8845,-0.0176,0.3146,-0.0859
id_05a43e02a,trt_cp,72,D1,2.082,-2.12,2.762,1.057,-2.389,-1.753,-2.351,-3.371,-2.015,-1.449,-5.128,-2.379,-2.607,-2.356
id_05a879aa0,ctl_vehicle,24,D2,-0.1163,0.4603,0.3068,0.5461,0.9413,-0.1866,-0.1271,1.035,-0.3215,-0.9061,0.5753,0.5613,0.6188,0.1457
id_05aa3a203,trt_cp,48,D2,-0.2245,0.1249,2.191,-0.2369,0.213,0.1242,-0.7812,0.0408,-0.0518,-1.159,-0.3645,0.3627,0.0391,0.1328
id_05acecb88,trt_cp,24,D2,-0.0583,-0.8745,-1.004,0.0756,-1.543,-0.2104,0.748,0.0021,0.2646,-0.0684,0.5459,0.0558,0.0759,-0.435
id_05ae06798,ctl_vehicle,48,D1,0.2634,0.5638,-1.374,-0.4111,2.19,-1.028,-0.4136,0.0508,0.1701,1.237,0.3499,-0.2453,0.5519,0.279
id_05b14f5f6,trt_cp,72,D2,-0.03,-0.3424,-0.7979,-0.085,-0.0997,-0.1826,-0.6085,-0.1829,0.0931,0.3823,-0.6331,-0.3172,-0.9167,-0.7998
id_05b817224,trt_cp,72,D1,-0.2601,-0.0172,1.008,-0.027,0.1968,-0.1703,0.0529,-0.5684,0.2108,0.7103,-1.467,-0.6127,-1.752,-1.216
id_05b92cf23,trt_cp,48,D2,0.3372,-1.317,-1.328,-0.8952,0.2228,-0.2041,-0.9723,-0.2874,-0.7011,0.3664,-0.057,-0.4105,-0.4863,-0.7323
id_05bb9c82d,trt_cp,72,D2,-0.3942,-0.3392,0.2096,-0.9421,-0.1411,0.5096,0.1313,-0.5747,-0.2776,1.034,0.3633,0.225,0.9255,-0.964
id_05bd7e0e4,ctl_vehicle,72,D1,0.1304,-0.0611,0.6969,0.5626,0.1472,-1.03,1.32,0.7184,1.034,0.2886,1.011,0.3759,-0.5584,0.5762
id_05be6f34e,trt_cp,72,D1,0.3695,-0.6889,-1.118,-1.703,0.142,0.5626,0.1802,0.7527,0.5226,0.4256,0.9249,0.1261,0.0426,0.4725
id_05c10f90d,trt_cp,72,D1,-0.0044,-2.018,-1.107,1.9,0.2061,0.5698,1.504,0.2539,-0.8138,0.8398,-0.1486,0.4138,-0.2363,-0.1171
id_05c14e503,trt_cp,72,D1,1.403,0.2491,-0.4827,-0.2251,0.5928,-1.058,-3.438,-1.616,-3.772,-2.308,-3.716,-3.445,-4.674,-2.013
id_05c530eaf,trt_cp,48,D1,-0.4836,-0.2185,0.4844,0.5369,0.1812,-0.6817,1.377,-0.1438,-0.1258,-0.028,0.7886,0.8384,0.2997,0.3982
id_05c65b056,trt_cp,24,D1,-0.392,-0.0669,-0.7187,1.23,-0.1353,-0.9779,-0.8834,-0.5771,-0.3333,-0.2413,-0.2151,0.2088,-0.5962,-2.385
id_05c7b4bc1,trt_cp,48,D2,0.3354,0.4906,-0.3809,0.2926,-0.3599,-0.3055,0.1399,-0.1099,0.071,-0.7847,-0.6533,0.0142,-0.0733,0.1734
id_05c97e778,trt_cp,24,D1,0.2435,-0.386,2.583,0.0239,0.3002,-0.4425,-1.728,-0.414,0.4583,-0.5885,-0.2474,0.7713,0.2487,-0.2659
id_05cb1625e,trt_cp,48,D1,6.512,-0.1706,0.1432,-0.3322,3.416,-1.615,-8.854,-9.366,-10,-8.424,-10,-10,-10,-6.572
id_05cbc2a3b,trt_cp,24,D2,-0.2942,-0.1951,1.129,0.4553,-1.889,-0.9839,0.1399,0.8285,0.0684,0.1458,-0.5247,0.2305,-0.3039,0.4258
id_05cc21222,trt_cp,48,D1,0.5673,-0.9298,0.2861,-0.2351,0.0868,-0.0082,0.5733,-0.1733,0.367,0.2707,-0.163,0.3756,0.3839,-0.1751
id_05cce3bcb,trt_cp,24,D1,-0.9979,-1.688,-0.7401,-0.7403,-0.1051,0.1984,-0.1081,0.6032,-1.439,1.043,0.6927,0.3401,0.2474,-0.2299
id_05d6aa34c,trt_cp,48,D2,-0.0001,-0.5167,1.266,-0.0992,0.3115,0.3114,-0.052,0.5101,0.1525,0.4189,0.5879,-1.034,0.3209,0.4274
id_05d7f86a7,trt_cp,72,D2,0.5798,0.0302,0.3551,-0.0355,0.1753,-0.9607,-0.0644,-0.9649,-0.1849,0.3181,-1.895,0.1403,-0.746,-0.8271
id_05da7422b,trt_cp,48,D2,2.459,-2.201,3.542,-1.933,-2.664,0.4632,-1.636,-3.08,-4.794,-2.878,-4.816,-3.701,-8.687,-3.977
id_05dc1b135,ctl_vehicle,24,D2,-0.4282,-2.008,-0.7616,0.99,-0.9673,-0.3678,0.425,-1.454,-0.0217,-0.5065,0.6675,-0.7601,-1.856,-0.7248
id_05dd8f8d7,trt_cp,72,D1,-1.605,-0.3808,0.2909,0.3703,-0.5665,-0.5692,0.08,-0.6519,-0.1588,-1.901,-1.28,-0.5036,0.2817,0.0435
id_05df28c5e,trt_cp,72,D2,0.2443,-0.3372,-3.963,-0.1641,0.3243,-0.2273,0.3279,-0.3067,-0.9496,0.7967,-0.0683,-0.2585,0.8446,-0.142
id_05e1f6eaa,trt_cp,72,D1,-0.6156,-0.1899,-0.8884,-0.0413,-0.408,-0.3568,-0.5552,0.3742,0.3144,-0.4247,0.2199,0.5075,0.1692,0.8743
id_05e3f9e7f,trt_cp,48,D2,-0.1254,-0.8182,-1.202,0.6981,-1.074,-0.6705,0.232,0.4828,0.2908,-0.665,0.0657,0.359,0.5672,0.8905
id_05e7f604e,trt_cp,24,D1,-0.3393,-0.6934,0.0559,0.0334,-0.5005,-0.5279,-1.269,-0.8794,-0.3019,0.0027,0.0794,-1.955,0.0245,0.6058
id_05e90b72c,trt_cp,72,D2,0.26,0.8931,0.1551,1.116,-0.4132,-0.5582,-0.7336,-1.043,0.0369,0.0062,-0.2277,-0.306,0.3373,0.4664
id_05ea3a52e,trt_cp,48,D1,-0.4294,1.054,0.388,-0.7814,-0.2074,-0.6322,0.0039,-0.0498,-0.3217,-0.9497,-0.6903,-0.2943,-0.1079,-0.5578
id_05f9f6422,trt_cp,72,D2,-0.7461,0.9736,1.516,0.507,-0.6633,-1.415,-1.397,-1.426,-1.58,0.0133,-2.899,-1.716,-2.516,-1.56
id_05f9f9c2c,trt_cp,48,D1,0.0359,0.0588,0.7763,0.4685,-0.2357,-0.0934,0.3915,0.1963,0.5407,-0.1015,0.6576,-0.4984,0.6519,0.7772
id_05f9ffc64,trt_cp,24,D1,1.906,0.8977,0.7645,-0.3666,-0.7438,-0.4095,0.8576,-0.4948,-0.4804,0.0552,-0.1864,0.2373,-1.393,-0.3376
id_05fab8e6e,trt_cp,48,D1,0.0971,0.6363,3.468,-0.1524,-0.6938,-0.1109,-0.4504,-0.4116,0.2791,0.9391,-0.3283,-0.8912,-0.289,0.6072
id_05fc1d2eb,trt_cp,48,D2,-0.535,0.5182,2.423,-0.1826,0.0799,0.1588,-0.2218,0.9458,1.017,0.3594,0.6778,0.9001,1.46,0.2113
id_060539684,trt_cp,24,D2,0.9362,-0.4557,0.7102,-0.2623,-0.287,0.5139,-0.2931,0.5819,-0.5258,-0.0674,-0.6073,-0.1301,0.4789,0.2098
id_06080a846,trt_cp,48,D2,5.811,0.8993,0.6687,2.564,1.273,0.1036,-9.991,-8.66,-9.991,-6.746,-9.991,-9.421,-9.991,-6.261
id_0609b9918,trt_cp,24,D2,-0.916,0.1452,-0.238,-0.5204,-0.3739,1.279,0.1581,1.908,0.8879,0.4147,0.2243,0.7337,0.4932,1.012
id_060a6338d,trt_cp,48,D1,0.7973,-0.1319,0.7032,-0.1885,0.1949,0.0081,0.6132,0.4113,-0.2428,0.5631,0.7421,0.6527,-0.8831,0.3396
id_060c9abea,trt_cp,72,D2,0.8682,0.2776,-0.0234,0.5989,0.8359,1.289,1.265,0.6147,-0.2161,-0.7627,1.227,-0.0836,-0.5269,0.5435
id_060f3a8d6,trt_cp,24,D1,0.9567,-1.913,0.6942,0.2971,1.577,-0.5606,-0.1117,-1.218,-1.216,0.136,-0.8596,-0.9602,-0.5731,-0.5256
id_06100bd1f,trt_cp,24,D2,-1.017,-1.819,2.842,2.559,-0.5122,0.0279,0.0889,-1.022,-1.205,0.0639,-0.2175,0.6278,-0.4832,-0.6426
id_061062e99,ctl_vehicle,48,D1,-0.5581,-1.358,0.4909,0.1251,-0.5346,0.6612,0.3084,0.7299,1.028,0.1687,-0.274,1.031,0.6416,1.007
id_061199516,trt_cp,24,D1,0.0995,0.0137,1.179,-0.7944,-1.628,0.8472,-1.604,-1.202,0.0014,-0.0467,0.0691,0.2074,-0.3374,-0.039
id_06121faaa,trt_cp,72,D1,0.7067,1.143,-1.265,0.6857,-0.8444,-0.5184,-0.1696,-1.132,-0.5474,-0.4077,0.2065,-0.1594,0.6654,-0.1329
id_061480bcf,trt_cp,24,D2,1.111,-0.1022,-0.6724,0.4539,-0.2888,0.0838,0.2842,-0.6267,-0.776,-0.7941,-1.035,-0.2188,0.1741,-0.9388
id_061703238,trt_cp,72,D2,-1.229,0.8594,-0.3514,2.182,0.7577,1.092,-0.7434,1.139,0.883,-0.4238,-0.507,-0.3571,-1.453,-0.1343
id_06189ce9a,trt_cp,48,D1,-0.1385,-0.1688,1.775,0.0438,1.138,-1.242,0.1835,0.4575,0.4607,-0.5317,0.4955,-0.2766,0.766,0.7326
id_061c38228,trt_cp,48,D2,-0.3821,0.5462,-0.8027,0.6691,-0.1623,-0.4304,-0.0987,-0.645,-0.8155,0.7757,-0.4383,0.1094,-0.5576,0.1318
id_061f79f0f,trt_cp,72,D2,-0.0188,0.5148,0.9883,2.089,-0.0258,0.8516,-4.389,-3.845,-2.731,1.473,0.0888,-2.143,-1.948,-1.483
id_062ae82df,trt_cp,48,D1,-0.9689,-0.9475,1.42,0.1596,1.727,0.9484,0.9296,0.9477,0.4687,-0.1284,1.253,0.7121,0.7098,0.9426
id_062b9b1c2,trt_cp,24,D2,0.3734,-0.6131,-0.2247,-0.5634,0.0716,-1.133,0.5058,1.006,0.2067,1.098,0.6646,0.3706,-0.499,-0.6962
id_062d58813,trt_cp,72,D2,0.2293,-1.127,0.3004,-0.0889,0.304,0.559,-0.0697,0.2848,0.5817,0.2862,0.6215,0.241,0.5845,1.073
id_062e996d7,trt_cp,24,D2,0.1871,0.6378,-0.6811,0.7403,0.8332,0.5207,-0.1502,-0.2716,0.2814,-0.08,-0.6186,0.9127,-0.4753,-0.2705
id_062f184ff,trt_cp,24,D2,-0.2513,0.0592,0.7704,0.7829,-0.4804,1.272,-0.6789,0.0112,-0.7768,1.438,0.8052,0.1347,0.7839,0.5859
id_06312a113,ctl_vehicle,24,D1,0.3016,-0.9099,0.1842,0.4604,-0.6837,-0.4978,0.5615,0.9334,-0.5261,-0.7323,0.4114,0.2977,0.6774,0.8745
id_06393af9f,trt_cp,24,D1,0.4216,-0.1373,0.6892,0.1506,-0.6793,0.2826,0.6327,0.5445,0.243,-0.9802,0.6609,-0.3335,-1.161,0.5194
id_06395227f,trt_cp,24,D2,0.6514,-0.5085,-0.1207,-1.328,1.428,1.851,-1.298,-3.303,-2.107,-1.931,-2.118,-2.087,-2.473,-3.149
id_063bb8a11,trt_cp,24,D2,-0.1002,-0.1274,-0.3041,-0.824,0,-4.111,0.0833,-0.4698,-0.3976,0.2849,-0.939,-0.0202,-0.1933,-1.243
id_063def5c5,trt_cp,48,D2,-0.1204,-0.8546,-0.2603,-0.7246,0.0524,-0.145,-0.0721,0.2486,-0.069,0.0324,0.8537,0.71,0.4661,-0.5362
id_063e8e7d6,trt_cp,24,D1,0.2183,-0.7533,-0.4273,0.2259,0.4209,-0.1119,0.3245,0.4793,-0.0149,0.4221,0.4565,-0.9896,0.2473,-0.3439
id_063ecfe30,trt_cp,72,D1,0.9109,-0.3251,-0.043,-0.1329,-0.2242,0.1927,0.6801,-0.0124,-0.3082,-0.8176,0.3661,0.1966,0.3311,0.2083
id_063f2f075,trt_cp,72,D2,0.8001,0.8409,0.4257,-0.4901,-0.2023,0.3392,0.162,-0.8556,-0.7941,-0.5895,-1.237,0.0564,-0.8623,-0.1423
id_06428d31f,trt_cp,24,D2,1.279,0.5834,0.9135,-0.9158,-0.1626,0.7016,-0.1901,-1.324,-0.3222,-2.976,-1.682,-0.6791,-0.6549,-1.569
id_0644c9ffc,trt_cp,48,D1,1.73,0.5741,-0.8945,-0.8759,0.599,0.1054,0.0337,-0.2578,-0.2597,-0.4424,0.0354,-0.2156,-0.7755,-0.7518
id_064603dcb,trt_cp,48,D1,1.112,-3.466,0.344,-1.521,-0.7237,0.9546,-1.65,-2.732,-3.121,-3.378,-5.891,-3.816,-4.748,-3.641
id_0646ece8b,trt_cp,72,D2,0.212,-0.3338,-0.1138,0.2037,-0.5875,0.6832,-0.184,0.481,-0.5386,0.0978,0.0874,0.3615,-0.9378,-0.1848
id_0648abd5f,trt_cp,24,D2,0.7547,0.4808,0.725,0.5447,-0.5076,0.943,0.8049,0.0764,1.027,-0.2229,0.435,-1.194,-0.8271,-0.5871
id_064901c0f,ctl_vehicle,24,D1,-1.895,-1.334,-0.0619,0.9232,-1.378,0.6285,0.7959,0.0383,0.51,-0.9948,0.289,1.479,0.6653,0.5676
id_064a09952,trt_cp,48,D2,-0.7112,0.3974,-0.4203,-0.3954,-0.1536,-0.8354,-0.3153,0.1901,0.5945,1.047,-0.2727,0.7544,0.4465,0.5305
id_064a6e22c,trt_cp,72,D2,0.1176,-0.5953,0.1168,-0.2776,-0.4699,0.4072,-0.0687,-0.0438,-0.2342,-0.1091,-0.1786,1.601,-0.1198,0.936
id_064ac77f9,trt_cp,72,D1,-0.21,-0.9331,0.6633,0.0752,-0.6941,-0.1224,0.0247,-0.5373,0.3366,0.1254,0.5815,-0.012,-0.7254,-0.0391
id_0651a3ed7,trt_cp,48,D2,0.0208,-0.9784,-0.6902,-1.262,0.1603,0.2065,0.9484,-0.25,-0.5287,-0.4572,0.1112,0.2081,-0.3202,0.092
id_0652a43ab,trt_cp,24,D1,-0.1084,0.65,0.6328,0.3372,1.176,0.0916,0.7826,0.409,-0.4268,0.0149,0.5452,0.3905,0.6061,1.551
id_06562f945,trt_cp,48,D2,-0.4775,0.0369,-0.4235,-0.9051,-0.3422,-0.4348,0.699,0.4325,-0.2467,0.6677,0.9631,0.3796,0.3103,-1.261
id_0658dda75,trt_cp,72,D1,-0.9241,0.7799,0.4595,0.9517,0.3465,0.637,-2.491,-4.717,-2.917,-2.49,-1.164,-1.754,-1.721,0.0215
id_065968a5b,trt_cp,24,D1,-0.1706,-0.4329,-0.1987,-0.1733,0.3778,0.3354,0.1652,-0.4672,-0.21,-0.8684,-0.5302,-2.098,-1.128,-0.7376
id_065985006,trt_cp,24,D2,2.887,-0.0221,1.692,5.052,-0.5128,-0.8011,-4.084,-7.373,-8.405,-3.585,-7.255,-4.964,-9.78,-4.311
id_065af93a8,trt_cp,24,D2,-0.4509,-0.6177,1.848,0.5059,-0.2282,-0.2648,-0.8097,-0.1068,-0.6401,0.8798,0.3741,-1.839,-0.1042,-0.5493
id_065bc9648,trt_cp,72,D2,0.46,-0.4381,-0.9199,-0.7391,-0.5513,0.1483,0.6354,-0.3238,-0.2556,0.9178,-0.5822,0.2191,-1.27,-1.295
id_065e12f9e,trt_cp,72,D2,-0.6874,-0.6942,-0.0596,-0.9515,-0.1439,1.008,0.3548,-0.3502,0.5187,1.065,0.4915,0.3422,0.4847,0.0327
id_065f1df01,trt_cp,24,D1,0.7882,0.6745,-0.1911,0.114,1.784,-0.7743,0.3332,-0.2779,-1.491,-0.8211,-0.4208,-1.521,0.3279,-1.769
id_065f38d2e,trt_cp,24,D1,1.815,-1.404,2.435,-0.715,-0.6438,-0.8525,0.3259,-0.9593,-0.8677,-0.0544,-0.6043,-0.6481,-1.354,-1.241
id_06600f2fa,trt_cp,48,D1,1.383,0.3053,-1.406,0.744,0.5082,-0.0697,-1.395,-0.4301,1.4,-0.7872,-0.9145,-0.2498,0.4117,0.1269
id_0661ac1ee,trt_cp,24,D2,0.5856,1.15,-0.3489,-0.2556,0.5021,0.0057,-0.5794,-0.0461,-0.0194,-0.5863,-0.2148,-0.774,-0.632,-0.3396
id_0661dcea9,trt_cp,24,D1,-0.3618,0.5883,2.689,-0.0712,-0.357,-1.368,0.9923,0.4057,-0.7007,0.1657,-1.332,0.023,0.1106,-0.1719
id_0663b072f,trt_cp,72,D2,-0.1775,-0.4559,0.5982,-1.403,0.2122,0.9312,-1.544,-0.4278,-0.0969,-1.868,-1.197,-0.477,-0.3713,-0.3478
id_06674ea0c,trt_cp,24,D1,-0.57,0.6761,0.6119,0.7447,-0.7207,0.7199,-0.3386,-0.1706,0.1151,0.1753,-0.9478,-0.0745,-0.2958,0.5565
id_06689feb9,trt_cp,72,D2,0.2051,-0.5636,-0.4017,-0.303,0.7163,0.9177,0.3376,0.6664,1.275,-0.1381,1.197,-0.4468,0.8901,1.142
id_06691a110,trt_cp,24,D2,-0.2927,-0.1851,0.1884,-0.8266,-0.1681,-0.1276,-2.319,-2.461,-0.964,-0.4879,-1.63,-0.0874,-1.616,-0.5302
id_066adb43f,trt_cp,72,D2,-0.3367,-0.0432,0.0891,-1.37,-0.9172,0.4573,-1.075,-0.8872,-0.0782,0.3913,0.1009,-1.386,-0.1601,0.3992
id_066af2d5e,trt_cp,72,D1,0.0302,0.5806,-0.5002,0.0301,0.9654,0.0228,0.4278,-0.3731,-1.128,-0.6996,-0.1373,-0.1247,-0.2787,0.3903
id_067111b8e,ctl_vehicle,72,D1,0.0115,-0.1864,-0.4974,-1.599,0.5261,0.9144,0.7674,0.4791,0.4109,0.7426,-0.2795,0.1122,-0.075,0.2156
id_0676db14f,trt_cp,48,D2,0.4205,-0.104,1.294,1.009,-0.3596,1.729,0.4592,0.6041,-0.2145,-0.5866,-0.6006,0.2826,-1.587,0.6786
id_067798631,trt_cp,72,D1,7.456,-2.236,0.4084,-0.7311,2.557,-1.749,-10,-9.509,-10,-8.674,-10,-9.693,-10,-8.703
id_067a17aaa,trt_cp,72,D2,0.0227,-0.7955,0.0923,0.4018,-0.2367,2.139,-2.269,-1.53,-1.447,-0.2527,-1.534,-1.439,-4.753,-1.367
id_067c6f57c,trt_cp,72,D2,-0.4851,-0.0017,-1.452,-1.154,0.6905,0.2867,0.4828,0.5647,0.2003,-0.8887,0.157,0.8613,-0.5571,-0.8244
id_068246406,trt_cp,48,D1,0.0259,0.6164,0.9833,-0.1596,0.2603,1.143,-0.4045,0.0101,-0.5273,0.1259,0.0172,0.5593,0.3156,0.2256
id_06834da34,trt_cp,48,D1,8.157,0.6031,0.7811,-0.3625,4.051,-1.022,-10,-7.437,-10,-7.775,-10,-10,-10,-6.463
id_06852166f,trt_cp,72,D1,0.336,-0.4907,0.1387,-0.3302,-0.0942,-0.4341,0.2149,0.3054,-0.41,-0.1907,-0.1855,-0.6902,-0.0774,-0.143
